###Intrusions By Severity###,,,,
Severity,Total Number,% of Total,,
1676242800,0,0,0,
1676246400,0,0,0,
1676250000,0,0,0,
1676253600,0,0,0,
1676257200,0,0,0,
1676260800,0,0,0,
1676264400,0,0,0,
1676268000,0,0,0,
1676271600,0,0,0,
1676275200,0,0,0,
1676278800,0,0,0,
1676282400,0,0,0,
1676286000,0,0,0,
1676289600,0,0,0,
1676293200,0,0,0,
1676296800,0,0,0,
1676300400,0,0,0,
,,,,
###Intrusions By Types###,,,,
ID,Intrusion Type,Counts,,
1,Anomaly,14,,
2,OS Command Injection,3,,
3,DoS,2,,
4,Improper Authentication,1,,
,,,,
###Critical Severity Intrusions###,,,,
ID,Attack Name,CVE-ID,Intrusion Type,Counts
1,icmp_flood, ,Anomaly,11
2,Realtek.SDK.UDPServer.Command.Execution,CVE-2021-35394,OS Command Injection,3
3,udp_flood, ,Anomaly,3
4,Zeroaccess.Botnet, , ,1
5,Netcore.Netis.Devices.Hardcoded.Password.Security.Bypass, ,Improper Authentication,1
,,,,
###High Severity Intrusions###,,,,
ID,Attack Name,CVE-ID,Intrusion Type,Counts
1,Linux.Kernel.TCP.SACK.Panic.DoS,"CVE-2019-11477,CVE-2019-11478,CVE-2019-11479",DoS,2
2,Mirai.Botnet, , ,1
3,Remcos.Botnet, , ,1
,,,,
###Medium Severity Intrusions###,,,,
No matching log data for this report,,,,
,,,,
###Intrusion Victims###,,,,
ID,Attack Victim,Counts,Percent of Total Attacks,
1,165.225.116.21,8,34.78%,
2,10.8.8.212,8,34.78%,
3,165.225.116.253,2,8.70%,
4,89.187.162.184,1,4.35%,
5,10.8.123.2,1,4.35%,
6,165.225.116.36,1,4.35%,
7,208.91.112.60,1,4.35%,
8,23.239.232.22,1,4.35%,
,,,,
###Intrusion Sources###,,,,
ID,Attack Source,Counts,Percent of Total Attacks,
1,10.8.9.153,11,47.83%,
2,131.159.24.205,2,8.70%,
3,66.240.205.34,1,4.35%,
4,34.147.142.113,1,4.35%,
5,185.225.74.55,1,4.35%,
6,37.44.238.222,1,4.35%,
7,10.8.9.114,1,4.35%,
8,43.154.240.158,1,4.35%,
9,45.79.33.196,1,4.35%,
10,10.8.8.86,1,4.35%,
11,195.154.240.150,1,4.35%,
12,10.8.9.102,1,4.35%,
,,,,
###Intrusions Blocked###,,,,
ID,Intrusion Name,Intrusion Type,Severity,Counts
1,Realtek.SDK.UDPServer.Command.Execution,OS Command Injection,Critical,3
2,Netcore.Netis.Devices.Hardcoded.Password.Security.Bypass,Improper Authentication,Critical,1
3,Zeroaccess.Botnet, ,Critical,1
4,Linux.Kernel.TCP.SACK.Panic.DoS,DoS,High,2
5,Mirai.Botnet, ,High,1
6,Remcos.Botnet, ,High,1
,,,,
###Intrusions Monitored###,,,,
ID,Intrusion Name,Intrusion Type,Severity,Counts
1,icmp_flood,Anomaly,Critical,11
2,udp_flood,Anomaly,Critical,3
,,,,
###Attacks Over HTTP/HTTPs###,,,,
ID,Attack Name,Severity,Attack Counts,
1,Linux.Kernel.TCP.SACK.Panic.DoS,High,2,
2,Mirai.Botnet,High,1,
